Ornek1;Ornek2;Ornek3;Ornek4;Ornek5;Ornek6;Ornek7;Ornek8;Ornek9;Ornek10;Ornek11;Ornek12;Ornek13;Ornek14;Ornek15;Ornek16;Ornek17;Ornek18;Ornek19;Ornek20;Ornek21;Ornek22;Ornek23;Ornek24;Ornek25;Ornek26;Ornek27;Ornek28;Ornek29;Ornek30;Ornek31;Ornek32;Ornek33;Ornek34;Ornek35;Ornek36;Ornek37;Ornek38;Ornek39;Ornek40;Ornek41;Ornek42;Ornek43;Ornek44;Ornek45;Ornek46;Ornek47;Ornek48;Ornek49;Ornek50;Ornek51;Ornek52;Ornek53;Ornek54;Ornek55;Ornek56;Ornek57;Ornek58;Ornek59;Ornek60;Ornek61;Ornek62;Ornek63;Ornek64;Ornek65;Ornek66;Ornek67;Ornek68;Ornek69;Ornek70
90;79;62;60;75;66;47;110;67;65;65;66;65;74;63;54;70;46;89;82;96;95;100;99;83;82;41;64;40;71;63;106;70;46;92;46;48;108;73;77;81;57;60;103;86;106;72;94;77;81;57;60;77;87;60;47;81;63;58;90;101;87;97;99;55;50;72;68;58;91
90;79;62;60;75;66;47;111;67;65;65;65;65;74;64;53;70;47;88;82;95;94;101;97;84;82;42;65;40;72;66;107;71;45;92;46;48;109;74;77;81;58;61;103;85;106;72;95;77;81;58;61;77;88;61;46;81;62;58;90;102;88;98;100;55;49;72;69;57;90
91;80;63;60;76;66;47;110;67;66;65;65;65;75;64;53;69;45;87;82;94;93;102;96;84;81;41;65;40;73;68;108;72;45;93;46;48;109;75;77;81;58;61;102;84;107;71;96;77;81;58;61;76;88;61;46;81;63;58;91;102;88;99;101;55;49;72;69;57;90
92;79;62;60;76;66;47;110;67;64;65;65;65;76;65;52;69;45;86;82;92;91;107;95;85;81;42;65;40;74;69;109;73;45;93;46;48;109;76;77;81;59;61;101;83;108;70;97;77;81;59;61;77;89;62;46;82;62;58;91;103;89;99;102;55;49;71;70;57;89
92;80;63;60;77;66;47;109;67;66;65;65;65;75;66;52;69;45;85;81;91;90;106;95;85;81;40;65;40;76;70;109;74;45;94;45;48;110;77;76;81;59;62;100;82;108;70;99;76;81;59;62;77;89;62;46;82;62;57;91;104;90;100;102;55;49;71;70;57;89
93;80;62;60;77;66;47;108;67;66;65;66;65;76;65;52;69;45;84;81;90;89;106;95;86;81;39;66;40;76;72;110;76;45;94;45;47;110;78;76;81;59;62;98;81;109;69;100;76;81;59;62;76;90;63;46;82;63;57;92;104;90;101;103;54;49;71;71;57;88
93;80;62;60;78;66;47;108;67;65;65;66;65;76;65;52;68;44;83;81;88;87;105;94;87;81;41;65;39;77;73;110;76;48;94;46;48;110;79;76;81;60;62;97;80;110;69;101;76;81;60;62;76;90;63;46;83;64;57;92;105;91;102;104;54;48;70;71;57;88
94;80;63;60;79;66;47;107;67;65;65;65;65;75;64;53;67;44;81;81;87;86;105;92;87;80;40;65;39;78;74;110;77;56;95;46;47;110;80;76;81;60;62;96;79;110;68;102;76;81;60;62;76;90;63;46;83;65;57;92;105;91;102;105;54;49;68;71;57;87
95;80;62;60;79;66;47;105;67;66;65;66;65;76;61;51;67;44;81;81;86;85;104;90;88;81;42;65;39;79;76;110;78;61;95;46;47;111;81;75;81;60;63;95;78;111;68;103;75;81;60;63;75;90;63;46;84;66;57;93;104;92;103;105;54;49;68;72;57;87
95;80;62;61;79;66;47;104;67;65;65;65;65;77;60;50;67;43;80;80;85;84;103;88;88;80;40;65;39;80;76;111;79;65;96;46;47;110;81;75;80;61;63;93;77;111;67;104;75;80;61;63;75;90;63;48;84;66;57;93;104;92;104;106;54;49;69;72;57;86
96;80;62;62;80;66;47;102;68;66;65;65;65;76;58;50;66;43;79;81;84;83;103;87;89;80;40;65;39;80;77;111;80;69;96;46;47;110;82;75;79;61;63;92;76;111;67;105;75;79;61;63;75;91;63;51;85;67;57;93;104;93;105;107;54;49;69;73;57;86
96;80;63;63;80;66;47;100;68;66;65;66;65;77;57;50;66;43;78;80;83;82;102;86;90;79;40;66;39;81;78;111;80;72;96;46;47;109;83;75;78;61;63;91;75;111;66;105;75;78;61;63;75;91;63;54;85;67;57;93;103;94;105;107;54;49;68;73;56;85
97;80;63;64;82;66;47;98;68;66;65;65;65;77;56;50;66;43;77;80;81;80;101;86;90;79;40;65;39;82;79;109;81;75;95;46;47;108;84;75;76;62;63;90;74;110;66;106;75;76;62;63;75;92;63;57;86;68;57;94;103;94;106;107;54;47;68;73;56;85
97;80;62;65;81;66;47;97;69;66;65;65;65;78;55;49;65;42;76;79;81;80;101;85;91;79;39;65;39;82;80;108;82;78;94;47;47;108;85;74;75;62;63;89;74;110;65;107;74;75;62;63;75;92;63;59;87;68;57;94;102;94;107;108;54;47;67;74;56;84
97;81;62;66;82;66;47;95;69;66;66;66;65;78;54;49;65;43;75;79;80;79;100;84;91;78;40;64;39;83;80;108;82;81;93;49;47;107;85;74;74;62;62;88;73;110;65;108;74;74;62;62;74;92;63;61;87;69;56;94;102;94;107;109;54;49;67;74;56;84
