Ornek1;Ornek2;Ornek3;Ornek4;Ornek5;Ornek6;Ornek7;Ornek8;Ornek9;Ornek10;Ornek11;Ornek12;Ornek13;Ornek14;Ornek15;Ornek16;Ornek17;Ornek18;Ornek19;Ornek20;Ornek21;Ornek22;Ornek23;Ornek24;Ornek25;Ornek26;Ornek27;Ornek28;Ornek29;Ornek30;Ornek31;Ornek32;Ornek33;Ornek34;Ornek35;Ornek36;Ornek37;Ornek38;Ornek39;Ornek40;Ornek41;Ornek42;Ornek43;Ornek44;Ornek45;Ornek46;Ornek47;Ornek48;Ornek49;Ornek50;Ornek51;Ornek52;Ornek53;Ornek54;Ornek55;Ornek56;Ornek57;Ornek58;Ornek59;Ornek60;Ornek61;Ornek62;Ornek63;Ornek64;Ornek65;Ornek66;Ornek67;Ornek68;Ornek69;Ornek70
35;36;36;36;36;35;35;35;34;35;34;33;32;33;31;32;32;32;32;32;32;32;32;33;33;30;31;29;29;43;37;37;29;33;33;34;41;35;37;36;34;33;37;37;35;34;34;40;35;29;30;29;30;36;36;36;30;43;33;36;35;35;39;37;35;37;36;34;37;35
36;36;36;36;36;35;35;34;34;35;34;33;32;33;31;33;32;32;32;32;32;32;32;32;36;31;32;29;29;43;37;38;29;33;33;35;42;35;36;36;36;33;37;37;34;35;34;41;37;29;30;29;30;36;35;35;30;43;33;36;35;35;39;37;35;36;36;36;37;34
35;36;37;36;36;35;35;35;34;35;33;33;32;33;31;32;32;32;32;32;31;32;32;33;37;30;32;30;29;43;37;38;29;33;33;35;42;35;36;36;36;33;37;37;35;37;34;41;39;29;30;30;30;37;34;35;30;43;33;36;35;35;39;37;35;36;36;36;37;35
35;36;38;36;36;35;35;35;35;35;33;33;32;33;31;33;32;32;32;32;32;32;32;33;36;31;32;30;29;43;37;38;29;33;33;35;42;35;36;36;35;33;38;38;35;39;35;41;39;29;30;29;30;36;34;35;31;43;31;36;35;35;39;38;35;36;36;35;38;35
35;36;38;36;36;35;35;35;35;35;34;33;32;33;31;33;32;32;32;32;32;32;32;33;36;31;32;29;29;43;37;38;29;33;33;36;43;36;37;36;36;33;38;38;35;39;37;41;39;29;31;29;30;36;34;35;30;43;31;36;35;35;39;38;36;37;36;36;38;35
35;36;38;36;36;36;35;35;35;35;34;33;32;33;31;33;32;32;32;32;32;32;32;33;36;31;32;29;29;43;37;38;29;33;33;36;42;36;36;36;35;33;38;38;35;40;39;42;40;29;30;29;30;36;34;35;30;41;31;36;36;35;40;38;36;36;36;35;38;35
35;36;38;36;37;35;35;35;36;35;34;33;32;34;31;33;33;32;32;32;32;32;32;32;36;30;31;30;29;43;37;38;29;32;33;36;43;36;37;37;34;33;38;38;34;37;40;42;40;29;30;29;30;36;33;34;29;41;31;37;35;35;40;38;36;37;37;34;38;34
35;36;39;36;37;35;35;35;36;35;34;33;32;34;31;33;33;32;32;32;32;32;32;33;36;30;31;30;29;44;37;38;29;33;33;36;43;37;37;36;34;33;38;38;34;39;37;42;37;29;30;29;30;37;33;34;29;41;31;37;35;35;40;38;37;37;36;34;38;34
36;37;39;36;38;35;35;35;36;35;34;33;33;34;31;33;32;32;32;32;32;32;32;33;36;31;32;30;29;43;37;38;29;33;33;37;44;37;37;36;34;33;38;38;34;40;40;43;39;29;30;29;30;36;33;34;29;41;31;38;35;35;40;38;37;37;36;34;38;34
35;37;39;37;38;35;35;36;36;35;33;34;33;34;31;33;32;32;32;32;32;32;32;33;36;30;31;30;29;43;37;38;30;32;32;37;43;37;37;36;34;33;39;39;34;40;40;42;40;29;31;30;30;36;33;34;29;41;31;38;35;35;40;39;37;37;36;34;39;34
35;37;39;37;38;35;35;36;36;35;34;34;33;34;31;33;32;32;32;32;32;32;32;33;36;30;31;29;29;43;37;38;29;33;33;37;44;37;37;36;33;33;39;39;34;40;40;43;40;29;30;29;30;36;33;34;29;41;31;38;35;35;40;39;37;37;36;33;39;34
35;37;39;37;39;36;36;36;36;35;34;34;33;34;31;33;32;32;32;32;32;32;32;33;36;30;31;30;29;43;38;38;29;33;32;37;44;38;37;37;33;33;39;39;35;39;39;43;40;29;31;29;30;37;33;37;29;41;31;39;36;39;40;39;38;37;37;33;39;35
35;37;39;37;39;36;36;36;37;35;33;34;34;35;31;33;33;32;32;32;32;32;32;33;36;30;31;29;30;43;38;38;29;33;32;38;44;38;37;36;33;33;40;39;35;40;40;44;38;29;30;29;30;36;33;40;29;41;31;39;36;39;41;39;38;37;36;33;39;35
36;37;40;38;39;37;37;36;36;35;33;34;34;35;31;34;32;31;32;32;32;32;32;33;36;30;31;29;30;43;38;39;29;33;33;38;44;38;37;36;33;33;40;40;34;40;40;43;39;29;30;30;30;36;33;40;29;45;30;39;36;39;40;40;38;37;36;33;40;34
35;37;39;38;39;37;37;36;37;35;34;33;34;34;31;34;33;32;32;32;32;32;32;33;36;30;31;30;30;42;38;39;29;33;33;38;45;38;37;36;33;33;40;40;34;40;40;44;39;29;31;29;30;36;35;40;29;45;30;40;37;39;41;40;38;37;36;33;40;34
35;38;40;38;39;37;37;36;37;36;34;34;34;35;31;34;33;32;33;32;33;32;32;33;36;30;31;30;30;42;38;38;30;33;33;38;45;39;37;37;33;33;40;40;34;40;40;44;40;29;31;29;30;37;33;40;29;45;30;40;37;39;41;40;39;37;37;33;40;34
35;38;40;38;39;38;37;36;37;35;34;34;34;35;31;33;32;32;32;32;32;32;32;34;36;30;31;30;30;43;38;39;29;33;33;39;45;39;37;36;33;33;40;40;35;40;40;44;40;29;31;29;30;37;35;40;29;45;30;40;37;39;41;40;39;37;36;33;40;35
36;38;40;38;40;38;37;36;37;36;34;34;34;35;32;33;33;32;32;32;32;32;32;33;36;30;30;30;30;42;38;39;29;33;33;39;46;39;38;36;33;33;40;40;35;41;41;44;40;29;31;29;30;37;35;40;29;45;30;40;37;39;41;40;39;38;36;33;40;35
35;38;40;38;40;38;37;36;37;35;34;33;34;35;31;33;32;32;32;32;32;32;32;33;36;30;31;30;31;42;38;39;29;33;32;39;46;39;37;36;35;32;41;41;35;41;41;45;40;29;31;30;30;37;33;40;29;45;30;40;37;39;41;41;39;37;36;35;41;35
35;38;40;38;40;38;38;36;37;35;34;34;34;35;31;33;33;32;32;32;32;32;32;33;36;30;30;30;30;42;38;39;29;33;33;40;46;39;38;37;33;33;41;41;35;41;41;45;41;29;31;30;30;36;33;40;30;45;30;41;40;40;41;41;39;38;37;33;41;35
35;39;40;38;40;38;37;36;37;36;33;34;35;35;31;34;33;32;33;32;32;32;33;32;35;30;30;30;31;42;38;39;29;33;33;41;46;40;37;37;35;33;42;41;35;42;42;45;41;29;31;30;30;37;33;40;30;45;30;41;40;40;41;41;40;37;37;35;41;35
35;39;40;38;40;38;38;36;37;35;34;35;34;35;31;34;33;32;32;32;32;32;32;33;35;29;30;30;31;42;38;40;29;33;33;42;46;40;37;37;35;33;42;41;35;42;42;46;41;29;31;30;30;36;34;40;30;45;30;41;40;40;42;41;40;37;37;35;41;35
35;39;40;38;40;38;38;36;37;36;34;35;34;35;31;34;32;32;33;32;32;32;33;32;35;29;30;30;31;41;38;40;29;33;33;43;47;40;37;37;33;33;42;42;35;42;42;46;41;29;31;30;30;37;33;40;29;45;30;41;41;40;42;42;40;37;37;33;42;35
35;39;41;38;40;38;38;36;37;35;34;35;34;35;31;34;33;32;32;33;33;32;33;33;35;29;30;30;31;41;39;40;29;33;32;38;47;40;37;36;33;33;42;42;35;42;42;46;41;29;31;30;30;36;33;40;29;44;32;41;41;40;42;42;40;37;36;33;42;35
35;39;40;38;40;39;38;36;37;36;34;36;35;35;32;34;33;32;33;32;33;32;33;33;35;29;30;30;31;41;39;41;30;33;33;38;47;41;37;37;33;32;42;42;35;42;42;46;42;29;31;30;30;36;33;40;29;44;32;41;41;40;42;42;41;37;37;33;42;35
35;40;40;38;41;39;38;36;38;36;34;36;35;35;32;34;32;32;33;32;33;32;33;33;35;29;30;31;31;41;38;37;29;33;33;38;47;41;37;36;34;33;43;42;36;42;42;46;42;29;31;30;30;36;33;40;29;44;32;41;41;40;42;42;41;37;36;34;42;36
35;40;41;39;41;39;38;36;38;36;34;35;34;35;32;34;33;33;33;32;33;32;32;32;35;29;30;31;31;41;39;37;29;33;35;38;47;41;37;37;33;33;43;43;36;43;43;47;42;29;31;30;30;36;33;37;29;45;32;42;41;40;42;43;41;37;37;33;43;36
